"V1","V2","V3","V4","V5"
0.738742541394064,0.735020433222693,0.7415053433357,0.739548358627041,0.738933553351114
0.740354175860018,0.737879165787303,0.739126263885958,0.742196043821109,0.74137037818754
0.744172214654362,0.74117917921759,0.743596630916521,0.743174536175438,0.743193199915574
0.74432570365112,0.746858272097619,0.749179793173577,0.745131520884097,0.74467064489514
0.746896644346808,0.750753055390342,0.746416991231941,0.743596630916521,0.748047661991289
0.751117591757641,0.748546651061952,0.746992574969782,0.747453041960055,0.748891916265326
0.752575737226838,0.749007118052225,0.751002475010073,0.749966424281959,0.747107469731565
0.751616430997103,0.750522821895205,0.751961781239807,0.752767598472785,0.747222595314389
0.75025421615088,0.753093762590894,0.749218165422766,0.75152050037413,0.751060114741831
0.753726904702519,0.747011761094377,0.750983288885478,0.750062354904933,0.75113686513038
0.755376911417663,0.753861207574682,0.752192014734944,0.753669346328735,0.751731680641633
0.75495481667658,0.755511214289826,0.752690853974406,0.7552426085455,0.754475507032254
0.758254830106867,0.757602501870647,0.753247251587652,0.755108305673337,0.757641460559894
0.757314710001727,0.756624009516318,0.755818192283341,0.755760633909557,0.753899879118138
0.75520423629631,0.754148999443602,0.757218779378753,0.755146677922527,0.756797206285857
0.755319353043879,0.755165864047121,0.756221100899829,0.758907158343086,0.754149317880922
0.75961704495309,0.757257151627943,0.75426411619117,0.756010053529288,0.754533069823666
0.755511214289826,0.75712284875578,0.7552426085455,0.757967038237946,0.75973290864785
0.755472842040636,0.757237965503348,0.76026937318931,0.756758312388481,0.756413454343113
0.757794363116594,0.75679668463767,0.757314710001727,0.75556877266361,0.755281386112017
0.760749026304177,0.757986224362541,0.761574029661749,0.763742061740949,0.762265671469962
0.759214136336601,0.762072868901211,0.761478099038775,0.760326931563094,0.760404474547652
0.76182344928148,0.76178507703229,0.760787398553366,0.758887972218492,0.75986722182781
0.761765890907696,0.759041461215249,0.762418219143915,0.759175764087412,0.761670855958708
0.761286237792828,0.760346117687688,0.76178507703229,0.759924022946605,0.762879674578352
0.76239903301932,0.760806584677961,0.763492642121218,0.761727518658506,0.758754341193852
0.763684503367165,0.760211814815525,0.761267051668233,0.761516471287965,0.759483469885066
0.761075190422287,0.762341474645536,0.75614435640145,0.760576351182825,0.763205863729685
0.76088332917634,0.76239903301932,0.760633909556609,0.759693789451469,0.76234242185851
0.760518792809041,0.76333915312446,0.760710654054987,0.759041461215249,0.761632480764434
0.762801941635809,0.764298459354195,0.760480420559851,0.757583315746053,0.759636970662164
0.760960073674718,0.761267051668233,0.760039139694173,0.758561808100382,0.764376307155055
0.76055716505823,0.761996124402832,0.762379846894726,0.759712975576063,0.762016232707178
0.763262408626082,0.760173442566336,0.761900193779858,0.760326931563094,0.76207379549859
0.761746704783101,0.76333915312446,0.759924022946605,0.75871529709714,0.762937237369764
